Time,SSS_GPS_LAT,SSS_GPS_LON,SSS_GPS_ALT,SSS_GPS_VEL_X,SSS_GPS_VEL_Y,SSS_GPS_HEADING,SSS_GPS_GROUNDSPEED,VEHICLE_LAT,VEHICLE_LON,VEHICLE_ALT,VEHICLE_ALT_DESIRED,VEHICLE_THROTTLE,VEHICLE_GROUNDSPEED,VEHICLE_DISTANCE_ERROR,MOTIONCONTROLLER_SPRING_LENGTH,MOTIONCONTROLLER_TETHER_OUT,MOTIONCONTROLLER_DRUM_SPEED,MOTIONCONTROLLER_DANCER_POSITION,VEHICLE_STATE,MOTIONCONTROLLER_STATE,SSS_GPS_STATE,POWERSUPPLY_STATE,COORDINATOR_STATE,MavLink Msg Rate,MavLink Unique Msg Rate
2018-07-03 09:58:59.568,39.7353598133333,-75.3992186233333,13.083,-0.0750887782991536,-0.0202745675561761,254.89,0.0777777777777778,0,0,0,0,0,0,6250146.13360057,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:59.786,39.7353597866667,-75.399218655,13.076,0.00965634790065615,0.0347960815452043,15.51,0.0361111111111111,0,0,0,0,0,0,6250146.13402394,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:59.994,39.7353597916667,-75.3992186,13.068,-0.00103439472067707,0.0305380418964687,358.06,0.0305555555555556,0,0,0,0,0,0,6250146.13314233,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:00.209,39.735359795,-75.3992185733333,13.065,-0.00188974167217335,0.0137597278672346,352.18,0.0138888888888889,0,0,0,0,0,0,6250146.1327181,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:00.427,39.7353598,-75.39921856,13.051,0.0418321419831222,0.0321802070264378,52.43,0.0527777777777778,0,0,0,0,0,0,6250146.13251779,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:00.637,39.735359825,-75.3992185266667,13.046,0.0200000476377554,-0.0266666309382836,143.13,0.0333333333333333,0,0,0,0,0,0,6250146.13206127,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:00.854,39.735359815,-75.3992184883333,13.037,-0.0429700665863014,0.0434527476553945,315.32,0.0611111111111111,0,0,0,0,0,0,6250146.13139907,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:01.061,39.73535981,-75.39921847,13.027,-0.0498434317577471,0.0303052815263047,301.3,0.0583333333333333,0,0,0,0,0,0,6250146.1310816,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:01.272,39.7353598183333,-75.3992184466667,13.02,-0.0459271091404086,0.0312589251109409,304.24,0.0555555555555556,0,0,0,0,0,0,6250146.13072958,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:01.492,39.7353598233333,-75.3992184383333,13,-0.0304317923967828,0.0593156847382171,332.84,0.0666666666666667,0,0,0,0,0,0,6250146.13061102,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
